"","slsl_no","site_ID","visit","TN","TC","CN_ratio","lat","lon","final_Lat","final_Long","tn_30","toc_30","cnratio_30","litter_soil_ratio","ae_ratio"
"46",5634,84,1,1.05,24.903,23.7098,-31.74405098,116.68664,-31.74405098,116.68664,0.0433333333333333,0.776,19.1825,1.23601199009514,1.13556921454082
"47",5636,85,1,1.618,25.537,15.7828,-31.73904003,116.682296,-31.73904003,116.682296,0.137333333333333,1.75666666666667,16.6663333333333,0.946986939738795,0.96784629908338
"48",5638,86,1,0.841,14.577,17.3401,-31.73748099,116.697899,-31.73748099,116.697899,0.0316666666666667,0.426666666666667,15.3100666666667,1.13259467626964,1.07756805871491
"49",5640,88,1,2.082,39.762,19.0993,-31.73965802,116.678984,-31.73965802,116.678984,0.0676666666666667,1.09766666666667,18.2970333333333,1.04384681669706,1.02608198486908
"50",5642,89,1,1.049,29.861,28.4542,-31.73752902,116.700305,-31.73752902,116.700305,0.0653333333333333,1.195,19.8465,1.43371375305469,1.24130204468963
"51",5644,90,1,0.889,26.944,30.3109,-31.73906702,116.67853,-31.73906702,116.67853,0.134333333333333,3.25533333333333,25.5294,1.18729386511238,1.10849805200882
"52",5646,93,1,1.505,28.2285,18.7556,-31.73905796,116.681561,-31.73905796,116.681561,0.077,1.27133333333333,18.5930666666667,1.00874160977569,1.0052358331892
"53",5648,94,1,1.517,34.698,22.8744,-31.74416296,116.672194,-31.74416296,116.672194,0.067,1.312,21.4827,1.06478235975925,1.03838046349644
"54",5650,97,1,1.284,43.121,33.5748,-31.74170204,116.670088,-31.74170204,116.670088,0.0356666666666667,0.748,23.3573,1.4374435401352,1.24323857617821
"55",5652,98,1,0.895,25.882,28.917,-31.738143,116.66813,-31.738143,116.66813,0.0756666666666667,1.228,16.4698,1.75575902561051,1.40177705118391
"56",5654,100,1,1.034,22.275,21.5361,-31.73327101,116.686903,-31.73327101,116.686903,0.064,0.815,17.0495,1.26315141206487,1.15046456622545
"57",5656,101,1,1.518,25.93,17.0796,-31.73652202,116.686004,-31.73652202,116.686004,0.0523333333333333,0.661333333333333,13.2428666666667,1.28972075532488,1.1649235187491
