"","site","x","y","BD","AWC","pH","clay","Silt","Sand","POM","AGG","MAOM","TOC","Qmax","PAWC","SILO","land_use","cropname"
"20",5580,116.674589,-31.73999598,1.4541764247973,11.17559,6.42927518889753,6.68271304020821,16.5234273104926,76.7938596492992,4.30760388078493,14.1740668307398,35.0809266119357,45.1098978174108,80.2967169859548,11175,365929,"Cropping","oat"
"21",5582,116.670224,-31.73789799,1.66748578018925,12.34672,4.92153480542591,7.24850986574956,12.7897933499583,79.9616967842922,1.84310703035893,3.45652138479234,18.0051961732138,27.2509480776905,82.3830003180947,12346,365929,"Cropping","oat"
"22",5584,116.68997,-31.74867997,1.71040557066936,12.28029,4.95654167069589,5.00536427506666,14.0340374091502,80.9605983157831,3.10231877260754,8.84898183259872,25.3305884182412,39.4846371395344,81.3310675606987,12280,365930,"Cropping","canola"
"23",5586,116.68367,-31.755488,1.40311793912153,13.49163,5.84971829622076,7.23240042143722,14.8877678256282,77.8798317529345,2.02881697095473,3.48400722612122,19.9764213920697,28.043400615791,74.6994514654123,13491,365930,"Cropping","canola"
"24",5588,116.670265,-31.74955898,1.47743766846176,12.99937,5.69854342444356,5.96916113284637,13.2791660664234,80.7516728007302,2.62166702754353,5.52746431292768,20.1283833632941,24.3028186534932,70.8271810995221,12999,365929,"Cropping","oat"
"25",5590,116.690968,-31.72934803,1.62695335829531,11.48925,5.42911215181091,11.2601319331006,18.7061518631089,70.0337162037905,2.30088326184894,6.39930785181438,43.238713528439,57.2301306501456,109.484536357409,11489,365930,"Managed pasture","annual grass"
"26",5592,116.689949,-31.73804702,1.7053758373636,11.43932,4.90733745952335,6.25818838462492,16.442582594399,77.2992290209761,1.86318243831388,4.65550148889724,15.9919811297002,30.0709157306938,92.5989191246844,11439,365930,"Managed pasture","annual grass"
"27",5594,116.676738,-31.74639297,1.63904956164065,12.00695,4.51852762143563,5.590821682251,14.3776707646485,80.0315075531005,1.82913739157293,4.96547534310659,28.5033230304281,34.4389916049713,80.7661389978897,12006,365930,"Managed pasture","annual grass"
"28",5596,116.68803,-31.74224904,1.65552829583594,12.63628,5.09803433386572,12.8665863145518,18.8757557415846,68.2576579438635,1.87623138117026,3.19034430112815,27.9621052217276,36.2805797498129,116.402941832934,12636,365930,"Managed pasture","annual grass"
"29",5598,116.690304,-31.731111,1.56970118581455,10.55274,5.40410431507627,6.77433635437836,18.2921460743406,74.933517571281,7.51885886071213,23.0774155190654,50.2481235333495,77.310226871456,91.9573300473529,10552,365930,"Managed pasture","annual grass"
"30",5600,116.689905,-31.72760703,1.56748196019121,11.47603,5.08362442328764,5.95613490556973,15.5946145372234,78.4492505572069,2.37166071053835,4.93046386765108,22.2598523650767,33.076320040286,81.8144927039166,11476,365930,"Managed pasture","annual grass"
"31",5602,116.686515,-31.73577502,1.50223729754131,11.36375,5.18805741502667,13.9172907618263,21.7170779864555,64.3656312517182,5.02735306667828,10.4452579127325,28.6511154352815,46.2286435454816,114.150195284319,11363,365930,"Managed pasture","annual grass"
"32",5604,116.686656,-31.73817904,1.62148107298607,9.99599,5.21526386865201,6.07719213517451,15.9472082144549,77.9755996503706,3.12930878075445,7.61289236195644,24.3865883661691,32.1539663178908,86.0408871828722,9995,365930,"Managed pasture","annual grass"
"33",5606,116.687773,-31.73834701,1.53534530341875,12.43147,5.39029799728756,11.0999376730036,19.1314494437188,69.7686128832776,3.23528047173395,5.35883795415049,24.9773121688719,36.2155664357507,104.023637502584,12431,365930,"Managed pasture","annual grass"
"34",5608,116.693554,-31.73783898,1.57627033521134,11.07745,5.14338818413716,9.55989453886394,17.6488165407535,72.7912889203826,6.67766024541748,25.6508606028774,21.3609326015338,48.3932979567698,98.396850949892,11077,365930,"Managed pasture","annual grass"
"35",5610,116.691427,-31.73861196,1.75725903401422,11.67541,5.30729353393068,9.91475373060138,20.1363630041038,69.9488832652948,4.02638391918563,9.59394476883363,39.199392904623,58.1010513409447,118.511766407969,11675,365930,"Managed pasture","annual grass"
"36",5612,116.688414,-31.73569196,1.55003991330916,12.60857,4.97071796576997,6.14470877644606,16.258078209471,77.5972130140829,2.33250997839666,4.14191721967057,20.400463862471,28.056162967131,83.3219862270875,12608,365930,"Managed pasture","annual grass"
"37",5614,116.689547,-31.74224602,1.6759097392829,12.70955,5.18334101636877,5.55932905268585,15.6076285588613,78.8330423884528,5.03465690572082,10.8348942586271,26.8918066308222,34.3699253193642,86.2913482603503,12709,365930,"Managed pasture","annual grass"
"38",5616,116.680447,-31.74611703,1.56294219666559,11.83782,5.6088053226522,4.57961776225634,14.3585277870959,81.0618544506477,2.3163128493668,4.86997166564875,17.5690861477136,29.0416887389659,74.0244908778928,11837,365930,"Managed pasture","annual grass"
"39",5618,116.685116,-31.73005496,1.52135224600414,13.16848,5.67126224571359,5.11898151152639,15.0654009772862,79.8156175111874,8.01640205561218,7.46745533637647,20.2880934590974,33.8887626834689,75.5743793212805,13168,365930,"Natural pasture","native perennial"
"40",5620,116.692175,-31.73956297,1.68397878935082,12.67005,5.48706684049384,4.86794868596224,13.1380961811156,81.9939551329222,2.79977040235766,3.33307144238316,14.4928156431893,28.6984897391028,76.8309868286873,12670,365930,"Managed pasture","annual grass"
"41",5622,116.682518,-31.73102802,1.56929016062317,12.37843,5.36834700075616,9.48256309214927,17.9969754805553,72.5204614272954,5.4488591946951,10.5325245874315,42.0120476090691,55.2910801343822,98.7196487048753,12378,365930,"Natural pasture","native perennial"
"42",5624,116.679517,-31.72963997,1.54887866794004,12.88877,5.19380899497735,5.05483857909577,15.0705546170287,79.8746068038756,4.92492453914936,10.3620379639215,23.2220704352898,30.9456826711209,76.7727295746663,12888,365930,"Natural pasture","native perennial"
"43",5626,116.695936,-31.74628199,1.72290345165455,11.90943,5.04203157419064,8.12794573140374,16.9249730871847,74.9470811814116,2.94650948301963,7.79336424417964,34.5324754901566,44.9002626074234,100.890281973145,11909,365930,"Natural pasture","native perennial"
"44",5628,116.681712,-31.73140202,1.47935480391605,13.01208,4.42101903503048,4.76906772563705,15.6483317475225,79.5826005268405,8.22425525666636,13.8466814372431,36.4231497443688,53.8210809852478,74.1259101942726,13012,365930,"Natural pasture","native perennial"
"45",5630,116.669424,-31.74409297,1.38393101126382,14.0083,5.19318247946356,6.44738032460769,14.6950125555706,78.8576071198217,3.39821771603228,6.25728929652625,21.0311677534156,40.5597795763716,71.1950533517749,14008,365929,"Natural pasture","native perennial"
"46",5632,116.670318,-31.745909,1.52424802147817,13.37374,4.59442388272401,4.92598203571963,11.7020557746167,83.3719621896637,0.787982435071979,1.69472514644502,8.1359353095463,13.1460712459978,65.6209509186506,13373,365929,"Natural pasture","native perennial"
"47",5634,116.68664,-31.74405098,1.61381260337926,13.50341,4.82997999652561,9.28177619814548,16.8996248587559,73.8185989430986,3.44920603014357,5.10267876343604,25.3394803857099,32.7569332239889,97.7742389530046,13503,365930,"Natural pasture","native perennial"
"48",5636,116.682296,-31.73904003,1.46602877113888,11.44014,5.79300954811533,4.59341557615761,15.0857137807518,80.3208706430906,11.4994509732384,25.1677530464818,37.032004434152,77.2712868746352,71.453396372394,11440,365930,"Natural pasture","native perennial"
"49",5638,116.697899,-31.73748099,1.64940182658428,12.81123,5.05416058605541,5.88302538051029,14.9870154108878,79.1299592086019,1.88720803466618,3.25603326647246,14.1595747145926,24.4208119697223,84.0245248653312,12811,365930,"Natural pasture","native perennial"
"50",5640,116.678984,-31.73965802,1.61733389302248,11.4618,4.53346595713544,4.80218288528291,15.0020554291063,80.1957616856108,9.7847529853682,14.0303094627698,31.0652404299583,45.8493419675723,79.2032749582242,11461,365930,"Natural pasture","native perennial"
"51",5642,116.700305,-31.73752902,1.59138372170261,12.40232,5.12153330382989,7.53236910872397,17.5713910931828,74.8962397980933,5.22122589176059,13.1898341708435,34.5910210460132,56.8322995368276,93.3342984918225,12402,365930,"Natural pasture","native perennial"
"52",5644,116.67853,-31.73906702,1.40298776490479,11.50622,5.39197356270902,4.92899711277705,16.89559892956,78.175403957663,31.5008421281454,40.0300903512372,62.280921595495,123.139161306469,73.9331735857416,11506,365930,"Natural pasture","native perennial"
"53",5646,116.681561,-31.73905796,1.68109643012976,11.59402,4.35228966940752,5.10638198568644,15.7769224681798,79.1166955461337,7.17159894168186,16.0665792601564,39.8458328115259,61.6569419205255,85.6802607765627,11594,365930,"Natural pasture","native perennial"
"54",5648,116.672194,-31.74416296,1.39310785178855,14.82385,5.71076073826471,7.01059574489153,15.4098388105713,77.5795654445372,6.08910006373212,11.3818050894592,31.2567016487278,48.4868036420925,74.9310794588682,14823,365929,"Natural pasture","native perennial"
"55",5650,116.670088,-31.74170204,1.5074610169126,12.02574,3.95382581786722,6.33537908743175,13.4456061230034,80.2190147895649,2.54627797605478,6.83029896661323,26.2713096187103,43.4707443488364,73.7576098612649,12025,365929,"Natural pasture","native perennial"
"56",5652,116.66813,-31.738143,1.59480415355322,14.6907,5.10400723380161,13.1669727114419,17.6799522459525,69.1530750426056,1.84378658117121,4.88871906387141,42.969336121491,55.5484261174931,109.736435285613,14690,365929,"Natural pasture","native perennial"
"57",5654,116.686903,-31.73327101,1.4924365568535,11.2543,5.36073204033762,4.56286945900794,15.5184500374309,79.9186805035612,2.76116791658576,8.69707059163157,22.4268734817538,38.6517943124977,73.8533829337894,11254,365930,"Managed pasture","annual grass"
"58",5656,116.686004,-31.73652202,1.52981520322147,11.97112,5.38143230781995,10.2475796423634,18.2143594685146,71.538060889122,2.4043667411131,5.75348225237266,21.662509058414,27.9999311736303,98.90712619856,11971,365930,"Managed pasture","annual grass"
"59",5658,116.672571,-31.75257202,1.5566770310921,10.88459,5.12286029575672,9.77544142037842,14.0487810567812,76.1757775228403,2.7736771762898,5.23114700360749,19.2422244666733,29.4417580461783,87.7021498673906,10884,365929,"Cropping","oat"
